Person_id,Player,Team,GP,Min,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,FB_PTS
1630987,FantaSZN,Mavs Gaming,4,192,21,45,0.467,15,37,0.405,0,0,0.0,0,1,1,29,8,2,8,0,57,0
1631312,Jarsity,Mavs Gaming,4,192,17,32,0.531,7,11,0.636,0,0,0.0,7,16,23,10,10,5,4,2,41,0
1630406,Ceez,NBL Oz Gaming,4,192,50,58,0.862,12,17,0.706,12,12,1.0,0,0,0,45,4,3,14,0,124,0
1630434,Milo,NBL Oz Gaming,4,192,16,24,0.667,6,11,0.545,4,4,1.0,6,28,34,12,7,1,3,3,42,0
1630985,Bagmotion,NBL Oz Gaming,4,192,12,26,0.462,7,17,0.412,0,0,0.0,0,1,1,15,16,6,8,0,31,0
1641583,Plu,NBL Oz Gaming,4,192,13,23,0.565,8,13,0.615,1,2,0.5,1,16,17,5,13,2,2,4,35,0
1641588,HarryVZN,NBL Oz Gaming,4,192,22,39,0.564,10,22,0.455,2,2,1.0,1,0,1,14,3,0,2,0,56,0
1600003,Steez,NetsGC,4,192,7,14,0.5,3,7,0.429,0,0,0.0,3,9,12,7,13,3,2,1,17,0
1600011,OneWildWalnut,NetsGC,4,192,37,47,0.787,6,9,0.667,5,7,0.714,16,22,38,23,8,7,9,1,85,5
1600217,Reizey,NetsGC,4,192,13,20,0.65,6,9,0.667,1,2,0.5,0,0,0,15,6,3,7,1,33,0
1630983,Streetz,NetsGC,4,192,17,28,0.607,7,15,0.467,2,2,1.0,1,4,5,3,11,9,3,0,43,0
1631191,Greens,NetsGC,4,192,34,63,0.54,20,39,0.513,11,11,1.0,0,1,1,47,4,3,14,0,99,0
1630396,Chess,Pacers Gaming,4,192,26,44,0.591,13,28,0.464,4,5,0.8,1,0,1,15,7,5,4,0,69,3
1630410,Scoreo,Pacers Gaming,4,192,35,44,0.795,3,5,0.6,2,3,0.667,9,29,38,5,10,3,6,3,75,0
1630955,Cooks,Pacers Gaming,4,192,27,58,0.466,18,41,0.439,1,1,1.0,0,2,2,43,5,1,6,0,73,0
1641575,SubGoated,Pacers Gaming,4,192,14,31,0.452,8,19,0.421,1,2,0.5,1,2,3,4,6,6,8,0,37,0
1641589,JaySnags,Pacers Gaming,4,192,11,15,0.733,3,5,0.6,0,0,0.0,8,20,28,13,9,8,5,1,25,0
1600026,Bsmoove,Pistons GT,4,192,35,49,0.714,19,27,0.704,6,7,0.857,1,1,2,8,7,6,1,0,95,0
1600095,Jomar,Pistons GT,4,192,8,16,0.5,2,9,0.222,2,2,1.0,1,6,7,7,18,3,4,0,20,0
1630975,ANT,Pistons GT,4,192,40,60,0.667,9,20,0.45,14,15,0.933,0,1,1,70,5,3,10,0,103,2
1641591,Connor,Pistons GT,4,192,13,23,0.565,4,14,0.286,5,5,1.0,2,12,14,9,14,5,1,1,35,0
1642202,Mona,Pistons GT,4,192,32,41,0.78,6,8,0.75,6,6,1.0,11,38,49,19,8,4,7,1,76,0
1600093,BallLikeSeem,Raptors Uprising GC,4,192,32,37,0.865,0,0,0.0,7,8,0.875,9,24,33,10,6,3,5,2,71,2
1630048,Crush,Raptors Uprising GC,4,192,8,18,0.444,2,7,0.286,8,8,1.0,0,15,15,4,10,10,1,0,26,0
1630982,Simptoms,Raptors Uprising GC,4,192,27,43,0.628,16,29,0.552,5,5,1.0,0,1,1,14,4,3,2,0,75,0
1641594,Haam,Raptors Uprising GC,4,192,16,23,0.696,0,2,0.0,2,2,1.0,0,2,2,6,10,8,2,0,34,2
1641820,antoinelove,Raptors Uprising GC,4,192,33,51,0.647,15,27,0.556,4,4,1.0,0,2,2,57,7,3,14,0,85,5
1600221,BearDaBeast,T-Wolves Gaming,4,192,33,46,0.717,5,13,0.385,18,19,0.947,0,3,3,47,5,1,16,0,89,0
1630998,Polow,T-Wolves Gaming,4,192,16,26,0.615,7,13,0.538,2,2,1.0,9,30,39,14,4,6,7,2,41,0
1641590,Range,T-Wolves Gaming,4,192,13,19,0.684,3,7,0.429,2,3,0.667,0,1,1,3,12,7,0,1,31,2
1642203,Tutak,T-Wolves Gaming,4,192,27,48,0.563,15,28,0.536,5,5,1.0,1,1,2,11,7,4,4,2,74,5
1642204,Igymo,T-Wolves Gaming,4,192,22,27,0.815,10,13,0.769,0,0,0.0,3,7,10,4,9,9,2,3,54,0
1600017,Kenny Got Work,Warriors Gaming Squad,4,192,20,26,0.769,5,8,0.625,3,3,1.0,2,2,4,8,15,12,2,1,48,0
1600021,Mama Im Dat Man,Warriors Gaming Squad,4,192,26,53,0.491,11,31,0.355,0,0,0.0,0,0,0,27,8,13,7,0,63,2
1600205,CB13,Warriors Gaming Squad,4,192,30,46,0.652,16,25,0.64,9,9,1.0,0,0,0,47,6,4,12,0,85,0
1630419,Seese,Warriors Gaming Squad,4,192,19,28,0.679,4,8,0.5,2,2,1.0,2,21,23,9,16,6,2,1,44,2
1631278,Nay,Warriors Gaming Squad,4,192,36,47,0.766,0,0,0.0,5,6,0.833,16,37,53,15,6,3,5,2,77,0
1600022,Newdini,Wizards District Gaming,4,192,12,18,0.667,4,10,0.4,2,2,1.0,9,18,27,6,12,5,7,0,30,0
1600033,Type,Wizards District Gaming,4,192,28,31,0.903,0,0,0.0,3,4,0.75,15,31,46,10,7,7,1,3,59,0
1630073,Just Awkward,Wizards District Gaming,4,192,25,38,0.658,8,15,0.533,0,0,0.0,1,0,1,6,7,3,4,0,58,2
1630092,BRich,Wizards District Gaming,4,192,17,38,0.447,11,24,0.458,12,12,1.0,0,1,1,10,9,4,4,0,57,0
1642205,Benzo,Wizards District Gaming,4,192,26,55,0.473,16,42,0.381,3,4,0.75,0,1,1,59,7,5,14,0,71,9
